node,samplewise_robust,collective_robust,feature_norm,accuracy_samplewise,accuracy_collective,avg_test_degree,test_feature_dim,test_ntk_rank,n_test_nodes,n_test_edges
83,True,1.0,2.13591442258044,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
84,True,1.0,2.2006414261955154,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
85,True,1.0,2.547382510285592,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
86,True,1.0,4.1392209325261815,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
87,True,1.0,2.9677163544210967,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
88,True,1.0,2.504461957926711,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
89,True,1.0,2.4522628161956828,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
90,True,1.0,4.195022962257196,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
91,True,1.0,2.885715472073896,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
92,True,1.0,1.80691662487882,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
93,False,1.0,2.7911215008512253,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
94,False,1.0,2.30437132716651,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
95,True,1.0,2.671451723103568,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
96,True,1.0,2.285040033177485,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
97,True,1.0,3.058171376687398,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
98,True,1.0,2.1130284284975844,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
99,True,1.0,1.737666690831971,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
100,True,1.0,2.5936747610377875,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
101,True,1.0,2.559287655139896,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
102,True,1.0,2.404757430879313,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
103,True,1.0,2.5504241762559445,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
104,False,1.0,3.9730749241939134,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
105,True,1.0,2.1786037946921666,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
106,True,1.0,3.2144862327052905,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
107,True,1.0,2.495667940882173,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
108,False,1.0,0.9056778824349189,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
109,True,1.0,2.3318676916898182,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
110,True,1.0,3.4565205708908313,0.7444444444444445,0.8944444444444445,3.5555555555555554,7,20,180,320
