delta,seed,dataset,model,error,accuracy_cert_pois_robust,gurobi_node_count
0.156,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.158,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.162,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.164,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16599999999999998,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16799999999999998,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.16999999999999998,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.172,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.174,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.176,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.178,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.18,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.2,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.22,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.24,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.25,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.26,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.28,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.3,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.5,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
1.0,3,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.0,4,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.02,4,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.04,4,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.05,4,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.06,4,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.08,4,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.1,4,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.12,4,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.13,4,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.132,4,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.134,4,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
0.136,4,cba,SGC,"Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cpu!",,
