node,samplewise_robust,collective_robust,feature_norm,accuracy_samplewise,accuracy_collective,avg_test_degree,test_feature_dim,test_ntk_rank,n_test_nodes,n_test_edges
80,False,0.0,4.00670195717557,0.00625,0.4875,3.175,7,40,160,254
81,False,0.0,3.7028901260888825,0.00625,0.4875,3.175,7,40,160,254
82,False,1.0,2.777038059748558,0.00625,0.4875,3.175,7,40,160,254
83,False,0.0,2.357744958856505,0.00625,0.4875,3.175,7,40,160,254
84,False,0.0,2.102590019863265,0.00625,0.4875,3.175,7,40,160,254
85,False,0.0,2.580351693759561,0.00625,0.4875,3.175,7,40,160,254
86,False,1.0,2.167047975064616,0.00625,0.4875,3.175,7,40,160,254
87,False,0.0,2.700913068809036,0.00625,0.4875,3.175,7,40,160,254
88,False,0.0,3.086716513448603,0.00625,0.4875,3.175,7,40,160,254
89,False,1.0,2.0799181242037212,0.00625,0.4875,3.175,7,40,160,254
90,False,0.0,3.6469419037869626,0.00625,0.4875,3.175,7,40,160,254
91,False,0.0,1.982366317142125,0.00625,0.4875,3.175,7,40,160,254
92,False,0.0,1.9201147090007702,0.00625,0.4875,3.175,7,40,160,254
93,False,0.0,3.9622139943535695,0.00625,0.4875,3.175,7,40,160,254
94,False,0.0,1.0101652377738732,0.00625,0.4875,3.175,7,40,160,254
95,False,0.0,2.4133600973551697,0.00625,0.4875,3.175,7,40,160,254
96,False,1.0,1.877387243771274,0.00625,0.4875,3.175,7,40,160,254
97,False,1.0,2.686535103473716,0.00625,0.4875,3.175,7,40,160,254
98,False,0.0,3.2631212736522826,0.00625,0.4875,3.175,7,40,160,254
99,False,1.0,3.118420639951282,0.00625,0.4875,3.175,7,40,160,254
100,False,0.0,1.6595859041747945,0.00625,0.4875,3.175,7,40,160,254
101,False,0.0,1.9391858853421349,0.00625,0.4875,3.175,7,40,160,254
102,False,0.0,1.1848084682202171,0.00625,0.4875,3.175,7,40,160,254
103,False,0.0,3.500588900379018,0.00625,0.4875,3.175,7,40,160,254
